Casino,Date,Fiscal Year,Slot Machine Contributions to the State of Connecticut (1) (6),Total Contributions (1),eBonus Contribution (3),eBonus Credits Redeemed at Slot Machines (2),Weighted Average # of Machines,Payout %,Hold %,Win (9),Handle,Footnotes
Foxwoods,07/31/2025 12:00:00 AM,2025/2026,8425348,8425348,0,3520237,3258,0.9128,0.0872,33701394,386627307,(3) (4)
Mohegan Sun,07/31/2025 12:00:00 AM,2025/2026,11313161,11313161,0,4373111,3362,0.9151,0.0849,45252645,533121450,(2) (3)
Foxwoods,06/30/2025 12:00:00 AM,2024/2025,7678913,7678913,0,3264416,3265,0.9135,0.0865,30715651,355138272,(3) (4)
Mohegan Sun,06/30/2025 12:00:00 AM,2024/2025,10051035,10051035,0,4151314,3359,0.9166,0.0834,40204140,482324263,(2) (3)
Foxwoods,05/31/2025 12:00:00 AM,2024/2025,8066766,8066766,0,2991562,3311,0.9129,0.0871,32267065,370482724,(3) (4)
Mohegan Sun,05/31/2025 12:00:00 AM,2024/2025,11395451,11395451,0,4239941,3372,0.9151,0.0849,45581804,536656517,(2) (3)
Foxwoods,04/30/2025 12:00:00 AM,2024/2025,7189865,7189865,0,2731959,3229,0.9132,0.0868,28759461,331507539,(3) (4)
Mohegan Sun,04/30/2025 12:00:00 AM,2024/2025,10127281,10127281,0,4333857,3368,0.9152,0.0848,40509124,477468556,(2) (3)
Foxwoods,03/31/2025 12:00:00 AM,2024/2025,8123528,8123528,0,3344998,3180,0.9148,0.0852,32494111,381187497,(3) (4)
Mohegan Sun,03/31/2025 12:00:00 AM,2024/2025,11300934,11300934,0,4829091,3393,0.9158,0.0842,45203738,536676855,(2) (3)
Foxwoods,02/28/2025 12:00:00 AM,2024/2025,6932366,6932366,0,2607772,3158,0.9146,0.0817,27729464,324764068,(3) (4)
Mohegan Sun,02/28/2025 12:00:00 AM,2024/2025,9290646,9290646,0,3706382,3345,0.9169,0.0831,37162584,447005339,(2) (3)
Foxwoods,01/31/2025 12:00:00 AM,2024/2025,6702229,6702229,0,2738975,3142,0.9183,0.0854,26808916,327969234,(3) (4)
Mohegan Sun,01/31/2025 12:00:00 AM,2024/2025,9321541,9321541,0,3833992,3368,0.9178,0.0822,37286163,453796682,(2) (3)
